# Mag       Xrel    Yrel  Bx      By        Bz      x         y        z        rx       ry       rz
  136.57     -3     -2     6.38   121.85    59.05  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  133.18     -3      0     6.42   121.19    52.63  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  132.89     -3      2     7.28   121.89    50.06  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  137.27     -3      4     7.54   124.35    54.88  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  136.72     -3      6     7.33   124.83    52.96  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  136.85     -3      8     6.90   125.08    51.95  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  139.62     -3     10     7.22   123.01    62.60  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  137.59     -1     -2     7.63   125.68    53.84  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  140.14     -1      0     8.57   128.76    53.08  -0.0046  -0.5273   0.2188   2.4799  -0.9189   0.7119
  141.99     -1      1     8.30   128.37    57.98  -0.0053  -0.5279   0.2191   2.4799  -0.9191   0.7120
  138.19     -1      2     7.67   129.34    45.51  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  144.73     -1      3     9.04   129.44    61.82  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  144.63     -1      4     7.54   130.29    60.04  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  142.01     -1      5     9.15   129.84    56.78  -0.0082  -0.5304   0.2205   2.4798  -0.9188   0.7119
  142.15     -1      6     7.81   129.13    55.85  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  145.90     -1      7     8.29   130.56    61.55  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  146.00     -1      8     7.58   131.70    59.11  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  140.06     -1     10     7.48   130.52    48.87  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  144.65      0     -1     8.17   134.01    50.53  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  118.79      0      0     4.93   109.82    43.03  -0.0018  -0.5312   0.2142   2.4799  -0.9187   0.7120
  149.24      0      1     8.52   136.62    55.62  -0.0046  -0.5285   0.2196   2.4799  -0.9189   0.7120
  149.44      0      2     8.52   136.51    58.56  -0.0052  -0.5293   0.2196   2.4799  -0.9188   0.7120
  150.52      0      3     8.13   138.42    55.73  -0.0059  -0.5300   0.2198   2.4800  -0.9190   0.7120
  149.13      0      4     8.34   135.66    59.11  -0.0066  -0.5307   0.2200   2.4800  -0.9189   0.7120
  147.23      0      5     8.31   134.53    56.97  -0.0074  -0.5314   0.2203   2.4798  -0.9187   0.7118
  149.10      0      6     9.51   138.62    51.27  -0.0080  -0.5321   0.2204   2.4799  -0.9188   0.7119
  149.33      0      7     8.90   136.59    56.61  -0.0087  -0.5328   0.2205   2.4800  -0.9189   0.7119
  145.44      0      8     8.79   132.97    55.80  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  141.36      1     -2     7.58   130.61    51.98  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  143.35      1      0     8.65   134.16    47.83  -0.0033  -0.5283   0.2199   2.4799  -0.9190   0.7119
  146.88      1      1     8.58   133.53    60.06  -0.0032  -0.5302   0.2185   2.4796  -0.9186   0.7119
  146.65      1      2     9.04   133.73    58.00  -0.0047  -0.5296   0.2204   2.4799  -0.9190   0.7120
  149.82      1      3     7.66   138.36    56.97  -0.0056  -0.5300   0.2211   2.4799  -0.9190   0.7121
  150.11      1      4     8.83   136.52    58.95  -0.0060  -0.5312   0.2205   2.4800  -0.9190   0.7119
  151.71      1      5     8.54   135.89    65.23  -0.0067  -0.5318   0.2209   2.4799  -0.9189   0.7119
  151.48      1      6     8.66   137.75    59.95  -0.0074  -0.5324   0.2210   2.4801  -0.9192   0.7121
  152.28      1      7     9.14   138.31    61.95  -0.0080  -0.5332   0.2212   2.4799  -0.9189   0.7121
  151.03      1      8     9.04   136.48    61.86  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  145.06      2     -1     8.76   136.54    45.45  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  151.31      2      0     9.58   134.10    68.04  -0.0026  -0.5288   0.2205   2.4799  -0.9190   0.7118
  149.30      2      1     9.16   134.59    62.02  -0.0033  -0.5294   0.2207   2.4799  -0.9191   0.7119
  150.51      2      2     8.87   135.28    64.18  -0.0040  -0.5301   0.2210   2.4799  -0.9188   0.7120
  150.86      2      3     9.28   138.10    56.15  -0.0047  -0.5308   0.2212   2.4800  -0.9189   0.7121
  156.71      2      4     9.54   138.70    70.69  -0.0054  -0.5316   0.2213   2.4798  -0.9190   0.7119
  152.48      2      5     9.15   137.43    62.90  -0.0061  -0.5323   0.2215   2.4799  -0.9191   0.7120
  153.36      2      6     9.77   140.21    58.03  -0.0067  -0.5330   0.2216   2.4799  -0.9189   0.7120
  147.15      2      7     9.10   137.79    47.60  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  147.08      2      8     9.44   139.75    41.87  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  147.21      2      9     9.17   138.31    48.59  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  149.68      3     -2     8.49   133.12    64.84  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  149.46      3      0     8.90   133.92    64.22  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  147.22      3      1     9.17   136.03    52.67  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  148.57      3      2     9.44   140.05    48.68  -0.0036  -0.5302   0.2222   2.4800  -0.9190   0.7119
  152.60      3      3     8.98   139.55    56.99  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  152.45      3      4     9.03   140.65    58.11  -0.0047  -0.5321   0.2217   2.4799  -0.9190   0.7119
  152.88      3      5     9.61   139.07    59.79  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  148.40      3      6    10.06   140.69    44.35  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
