# Mag       Xrel    Yrel  Bx      By        Bz      x         y        z        rx       ry       rz
  150.55      3      7     9.24   141.53    47.94  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  153.33      3      8     9.41   141.17    57.01  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  142.91      4      0     9.28   137.35    38.35  -0.0016  -0.5293   0.2224   2.4799  -0.9188   0.7119
  147.97      4      1    10.09   141.73    41.30  -0.0023  -0.5300   0.2225   2.4799  -0.9188   0.7118
  146.84      4      2    10.85   140.11    42.59  -0.0030  -0.5307   0.2228   2.4799  -0.9190   0.7120
  146.79      4      3     9.13   139.21    45.67  -0.0037  -0.5313   0.2230   2.4800  -0.9191   0.7120
  149.16      4      4     8.26   141.12    47.60  -0.0039  -0.5327   0.2222   2.4799  -0.9189   0.7118
  147.52      4      5     9.83   142.18    38.09  -0.0050  -0.5328   0.2232   2.4800  -0.9190   0.7120
  145.81      4      6     9.96   142.32    30.08  -0.0057  -0.5334   0.2236   2.4800  -0.9188   0.7120
  147.49      4      7     8.36   143.26    34.06  -0.0063  -0.5342   0.2237   2.4798  -0.9188   0.7120
  156.25      4      8     9.73   143.60    57.51  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  144.60      5     -2     8.73   136.04    46.05  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  144.89      5      0     8.56   141.34    30.70  -0.0009  -0.5298   0.2230   2.4798  -0.9190   0.7120
  147.27      5      1     8.66   142.47    36.26  -0.0016  -0.5305   0.2232   2.4799  -0.9189   0.7119
  146.84      5      2    10.13   143.18    30.99  -0.0023  -0.5311   0.2234   2.4799  -0.9188   0.7118
  146.73      5      3    10.33   143.16    30.48  -0.0026  -0.5325   0.2226   2.4798  -0.9189   0.7119
  147.31      5      4     8.02   143.96    30.20  -0.0037  -0.5325   0.2237   2.4799  -0.9189   0.7119
  147.57      5      5    10.10   144.28    29.29  -0.0043  -0.5332   0.2239   2.4799  -0.9189   0.7121
  146.76      5      6     9.05   143.47    29.58  -0.0050  -0.5340   0.2241   2.4799  -0.9189   0.7121
  148.22      5      7     8.58   144.92    29.92  -0.0057  -0.5347   0.2243   2.4799  -0.9187   0.7118
  150.70      7     -2    10.24   138.69    53.55  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  151.85      7      2    10.75   144.86    41.62  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  158.61      9      2    10.94   146.26    56.81  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  164.43      9      6    10.84   150.31    64.17  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  166.01      9     10    10.54   152.90    60.75  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  171.63     10     10    11.89   162.46    50.96  -0.0041  -0.5398   0.2268   2.4799  -0.9190   0.7119
  166.79     11     12    11.85   157.67    50.95  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  166.84     12     12    12.09   160.84    41.67  -0.0053  -0.5279   0.2191   2.4799  -0.9190   0.7120
  179.90     14     14    12.49   165.19    66.89  -0.0043  -0.5445   0.2299   2.4799  -0.9191   0.7121
  183.13     16     16    11.84   169.62    65.17  -0.0043  -0.5445   0.2300   2.4800  -0.9190   0.7120
  187.46     18     18    12.86   170.29    74.63  -0.0044  -0.5492   0.2330   2.4800  -0.9190   0.7121
