# Mag       Xrel    Yrel  Bx      By        Bz      x         y        z        rx       ry       rz
  160.05     -3     -3     8.32   149.55    54.85   0.0127  -0.5913   0.2308   2.9279  -1.0701   0.1791
  157.84     -3     -2     7.60   145.09    56.82   0.0174  -0.5887   0.2314   2.9281  -1.0699   0.1790
  152.52     -3     -1     7.35   143.19    50.70   0.0127  -0.5913   0.2308   2.9279  -1.0701   0.1791
  159.69     -3      0     8.44   147.74    58.28   0.0160  -0.5903   0.2311   2.9278  -1.0701   0.1790
  159.78     -3      1     8.30   151.71    47.66   0.0154  -0.5911   0.2313   2.9279  -1.0699   0.1790
  150.44     -3      2     8.03   142.36    46.30   0.0127  -0.5913   0.2308   2.9279  -1.0701   0.1791
  146.68     -3      3     8.23   139.32    42.25   0.0142  -0.5926   0.2309   2.9279  -1.0701   0.1791
  160.15     -3      4     8.13   148.72    57.07   0.0135  -0.5933   0.2309   2.9280  -1.0700   0.1790
  154.88     -3      5     6.55   144.17    54.62   0.0127  -0.5913   0.2308   2.9279  -1.0701   0.1791
  159.30     -2     -5     8.63   150.85    48.22   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  149.78     -2     -4     7.65   141.03    48.10   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  164.88     -2     -3     9.15   155.52    52.67   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  158.52     -2     -2     7.70   147.76    54.34   0.0181  -0.5894   0.2314   2.9280  -1.0700   0.1789
  157.19     -2     -1     8.97   148.01    49.49   0.0175  -0.5902   0.2311   2.9279  -1.0699   0.1791
  158.32     -2      0     8.18   146.30    57.51   0.0167  -0.5909   0.2314   2.9280  -1.0701   0.1789
  154.41     -2      1     8.03   145.08    50.70   0.0162  -0.5917   0.2314   2.9279  -1.0700   0.1791
  157.80     -2      2     7.79   145.31    56.70   0.0127  -0.5913   0.2308   2.9279  -1.0701   0.1791
  156.40     -2      3     8.87   147.00    49.36   0.0164  -0.5945   0.2315   2.9280  -1.0700   0.1791
  155.58     -2      4     7.75   145.21    53.75   0.0164  -0.5945   0.2315   2.9280  -1.0700   0.1791
  147.71     -2      5     7.02   135.65    54.17   0.0127  -0.5913   0.2308   2.9279  -1.0701   0.1791
  162.08     -1     -5     8.35   150.87    56.74   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  162.30     -1     -4     9.03   151.40    55.78   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  158.82     -1     -3     8.11   150.37    48.66   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  164.72     -1     -2     8.21   151.71    61.60   0.0189  -0.5901   0.2306   2.9278  -1.0700   0.1788
  153.55     -1     -1     7.95   143.28    52.25   0.0182  -0.5908   0.2314   2.9279  -1.0700   0.1790
  156.98     -1      0     8.07   146.02    53.93   0.0176  -0.5916   0.2310   2.9279  -1.0700   0.1789
  157.86     -1      1     7.60   146.02    57.41   0.0170  -0.5923   0.2313   2.9279  -1.0700   0.1790
  153.27     -1      2     7.71   143.71    50.28   0.0164  -0.5945   0.2315   2.9280  -1.0700   0.1791
  158.52     -1      3     8.10   146.79    55.95   0.0164  -0.5945   0.2315   2.9280  -1.0700   0.1791
